"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"사랑의집","A0519","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김원태","1117000000","용산구","서울특별시 용산구 효창원로15길 24(산천동)"
"서울특별시남부노인보호전문기관","A0533","(노인) 노인보호전문기관","노인보호전문기관","자치구","나경희","1165000000","서초구","서울특별시 서초구 남부순환로 2124까리따스종합복지관 (방배동)(방배동)"
"우리사랑재가노인지원센터","A0564","(노인) 재가노인복지시설","재가노인복지시설","자치구","정춘선","1123000000","동대문구","서울특별시 동대문구 휘경로12길 83(휘경동)"
"청운노인복지센터","A0607","(노인) 노인요양시설","노인의료복지시설","자치구","손창숙","1159000000","동작구","서울특별시 동작구 국사봉1길 145(상도동)"
"동대문실버데이케어센터","A0638","(노인) 재가노인복지시설","재가노인복지시설","자치구","이동수","1123000000","동대문구","서울특별시 동대문구 약령시로5길 223층 동대문실버데이케어센터"
"한국씨니어노인복지센터","A0681","(노인) 재가노인복지시설","재가노인복지시설","자치구","반명규","1159000000","동작구","서울특별시 동작구 상도로30길 82층"
"목동종합사회복지관병설목동노인복지센터","A0707","(노인) 재가노인복지시설","재가노인복지시설","자치구","유영덕","1147000000","양천구","서울특별시 양천구 목동중앙북로8길 104목동종합사회복지관 2층"
"서초구립양재노인종합복지관","A0724","(노인) 노인복지관","노인여가복지시설","자치구","전경아 ","1165000000","서초구","서울특별시 서초구 강남대로30길 73-7양재노인종합복지관 (양재동)"
"효림재가노인지원센터","A0738","(노인) 재가노인복지시설","재가노인복지시설","자치구","김동숙","1141000000","서대문구","서울특별시 서대문구 경기대로9길 62-01-38"
"두엄자리","A0765","(노인) 노인요양시설","노인의료복지시설","자치구","김명화","1147000000","양천구","서울특별시 양천구 목동중앙남로16다길 6-13 (목동)"
"용산재가노인지원센터","A0773","(노인) 재가노인복지시설","재가노인복지시설","자치구","권용자","1117000000","용산구","서울특별시 용산구 한강대로 43길 13 대우아이빌 712호(한강로동)"
"길음노인복지센터","A0789","(노인) 재가노인복지시설","재가노인복지시설","자치구","장민균","1129000000","성북구","서울특별시 성북구 삼양로2길 55 (길음동)"
"남산실버복지센터","A0839","(노인) 재가노인복지시설","재가노인복지시설","자치구","박창남","1114000000","중구","서울특별시 중구 동호로5길 189 (신당동)"
"행복창조노인복지센터(방문요양)","A0877","(노인) 재가노인복지시설","재가노인복지시설","자치구","김현훈","1138000000","은평구","서울특별시 은평구 응암로21길 10(응암동)"
"강서구립봉제산노인복지센터","A0922","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","서순애","1150000000","강서구","서울특별시 강서구 초록마을로15길 12"
"청운실버센터","A0937","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이지원","1111000000","종로구","서울특별시 종로구 자하문로28길 29 (청운동)"
"시립중계노인전문요양원","A0974","(노인) 노인요양시설","노인의료복지시설","자치구","민동세","1135000000","노원구","서울특별시 노원구 섬밭로 313 (중계동)"
"정수데이케어센터","A1000","(노인) 재가노인복지시설","재가노인복지시설","자치구","권기현","1120000000","성동구","서울특별시 성동구 한림말길 16-5 (옥수동)"
"시립중랑노인종합복지관","A1022","(노인) 노인복지관","노인여가복지시설","자치구","조희정","1126000000","중랑구","서울특별시 중랑구 겸재로9길 45(면목동)"
"시립서부노인전문요양센터","A1025","(노인) 노인요양시설","노인의료복지시설","자치구","이희근","1144000000","마포구","서울특별시 마포구 월드컵로36길 15 (성산동)"
"우리모두데이케어센터","A1074","(노인) 재가노인복지시설","재가노인복지시설","자치구","김기철","1150000000","강서구","서울특별시 강서구 화곡로63가길 92"
"푸른햇살데이케어센터","A1082","(노인) 재가노인복지시설","재가노인복지시설","자치구","최성숙","1162000000","관악구","서울특별시 관악구 난곡로 110(난항동)"
"시립동부데이케어센터","A1103","(노인) 재가노인복지시설","재가노인복지시설","자치구","곽금봉","1120000000","성동구","서울특별시 성동구 마장로23길 12 (홍익동)"
"휘경데이케어센터","A1144","(노인) 재가노인복지시설","재가노인복지시설","자치구","정국인","1123000000","동대문구","서울특별시 동대문구 망우로20가길 34-6(휘경동)"
"한마음방문요양센터","A1153","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은점","1150000000","강서구","서울특별시 강서구 초록마을로14길 44 (화곡동)"
"강남구립강남노인종합복지관","A1165","(노인) 노인복지관","노인여가복지시설","자치구","고영한","1168000000","강남구","서울특별시 강남구 삼성로 628강남노인종합복지관 (삼성동)"
"강북노인종합복지관","A1174","(노인) 노인복지관","노인여가복지시설","자치구","김민숙","1130500000","강북구","서울특별시 강북구 삼양로92길 40-0강북노인종합복지관"
"참사랑재가노인지원센터","A1193","(노인) 재가노인복지시설","재가노인복지시설","자치구","조병기","1150000000","강서구","서울특별시 강서구 곰달래로 852층"
"아현노인복지센터","A1216","(노인) 재가노인복지시설","재가노인복지시설","자치구","윤승임","1144000000","마포구","서울특별시 마포구 마포대로26길 19-0(공덕동)"
"어르신이행복한세상주야간보호센터","A1294","(노인) 재가노인복지시설","재가노인복지시설","자치구","박병택","1147000000","양천구","서울특별시 양천구 신월로 338원빌딩 2층"
"중앙소규모요양시설","A1302","(노인) 노인요양시설","노인의료복지시설","자치구","이성순","1141000000","서대문구","서울특별시 서대문구 서소문로 43-49 (합동)"
"남부실버요양원","A1307","(노인) 노인요양시설","노인의료복지시설","자치구","송평섭","1154500000","금천구","서울특별시 금천구 범안로12가길 59"
"순애노인전문요양원","A1310","(노인) 노인요양시설","노인의료복지시설","자치구","마민주","1129000000","성북구","경기 고양시 덕양구 고골길 178번길73(관산동)"
"어르신이행복한세상요양센터01호","A1328","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박병택","1147000000","양천구","서울특별시 양천구 신월로 338원빌딩 2층"
"중계데이케어센터","A1372","(노인) 재가노인복지시설","재가노인복지시설","자치구","구종회","1135000000","노원구","서울특별시 노원구 중계4동 358주공3단지내"
"상계데이케어센터","A1434","(노인) 재가노인복지시설","재가노인복지시설","자치구","박용철","1135000000","노원구","서울특별시 노원구 덕릉로115나길 25상계데이케어센터 (상계동)"
"한사랑실버케어요양원","A1515","(노인) 노인요양시설","노인의료복지시설","자치구","주광미","1123000000","동대문구","서울특별시 동대문구 장한로28길 56 (장안동)"
"자비의집","A1547","(노인) 노인요양시설","노인의료복지시설","자치구","허영숙","1138000000","은평구","서울특별시 은평구 서오릉로 30-17(녹번동)"
"북가좌2동노인복지센터","A1599","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","손남식","1141000000","서대문구","서울특별시 서대문구 증가로20길 43북가좌2동노인복지센터"
"갈현데이케어센터","A1605","(노인) 재가노인복지시설","재가노인복지시설","자치구","손진호","1138000000","은평구","서울특별시 은평구 통일로89길 12-6갈현노인복지관"
"약수데이케어센터","A1609","(노인) 재가노인복지시설","재가노인복지시설","자치구","강경희","1159000000","동작구","서울특별시 동작구 양녕로36길 132층(상도동)"
"보사노인복지센터","A1676","(노인) 재가노인복지시설","재가노인복지시설","자치구","한서경","1144000000","마포구","서울특별시 마포구 성미산로29안길 302층 (연남동)(연남동)"
"구립하계실버센터","A1703","(노인) 노인요양시설","노인의료복지시설","자치구","김민성","1135000000","노원구","서울특별시 노원구 한글비석로 4 (하계동)"
"정성요양원","A1704","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김대경","1159000000","동작구","서울특별시 동작구 보라매로 89-0거성빌딩 6층"
"송파노인복지센터","A1717","(노인) 재가노인복지시설","재가노인복지시설","자치구","이후자","1171000000","송파구","서울특별시 송파구 백제고분로41길 19-24신원빌딩"
"효림데이케어센터","A1721","(노인) 재가노인복지시설","재가노인복지시설","자치구","김동금","1141000000","서대문구","서울특별시 서대문구 경기대로9길 624층"
"은천재가노인지원센터","A1722","(노인) 재가노인복지시설","재가노인복지시설","자치구","노선영","1123000000","동대문구","서울특별시 동대문구 장한로27가길 53(장안2동)"
"효림노인요양센터","A1723","(노인) 노인요양시설","노인의료복지시설","자치구","김동금","1141000000","서대문구","서울특별시 서대문구 경기대로9길 62 (충정로3가)"
"중앙노인보호전문기관","A1729","(노인) 노인보호전문기관","노인보호전문기관","자치구","최영숙","1156000000","영등포구","서울특별시 마포구 마포대로 182-10성촌빌딩 2층공덕동"
"양천어르신종합복지관","A1732","(노인) 노인복지관","노인여가복지시설","자치구","한승호","1147000000","양천구","서울특별시 양천구 목동로3길 106서울특별시 양천구 목동로3길106 (신정동)"
"연희노인여가복지시설","A1756","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김태경","1141000000","서대문구","서울특별시 서대문구 홍제천로2길 111연희노인여가복지시설"
"호선실버센터","A1926","(노인) 노인요양시설","노인의료복지시설","자치구","배국원","1150000000","강서구","서울특별시 강서구 수명로2길 96-0"
"강북노인전문요양원","A1945","(노인) 노인요양시설","노인의료복지시설","자치구","김응익","1130500000","강북구","서울특별시 강북구 삼양로92길 20(수유동)"
"한빛데이케어센터","A1963","(노인) 재가노인복지시설","재가노인복지시설","자치구","권구택","1147000000","양천구","서울특별시 양천구 신월로11길 16(신월4동)"
"청담노인복지센터","A1980","(노인) 재가노인복지시설","재가노인복지시설","자치구","유지훈","1154500000","금천구","서울특별시 금천구 금하로29길 36(시흥2동)"
"유자원","A2007","(노인) 노인요양시설","노인의료복지시설","자치구","장영실","1123000000","동대문구","서울특별시 동대문구 망우로 82 (휘경동)"
"한사랑복지센터","A2055","(노인) 재가노인복지시설","재가노인복지시설","자치구","한정옥","1162000000","관악구","서울특별시 관악구 은천로 83-1"
"송파치매주.야간보호센터","A2065","(노인) 재가노인복지시설","재가노인복지시설","자치구","이경수","1171000000","송파구","서울특별시 송파구 백제고분로32길 41"
"홍은데이케어센터","A2069","(노인) 재가노인복지시설","재가노인복지시설","자치구","백영수","1141000000","서대문구","서울특별시 서대문구 홍은중앙로9길 21홍은중앙로9길 21 "
"노인주간보호센터은빛마을","A2075","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은주","1165000000","서초구","서울특별시 서초구 신반포로 33길 22(잠원동)반포종합사회복지관 2층"
"시립은평노인종합복지관","A2077","(노인) 노인복지관","노인여가복지시설","자치구","김승자","1138000000","은평구","서울특별시 은평구 연서로 415"
"노원1치매데이케어센터","A2104","(노인) 재가노인복지시설","재가노인복지시설","자치구","김윤희","1135000000","노원구","서울특별시 노원구 월계3동사슴1단지아파트 내 노원1종합사회복지관 1층"
"시립동부노인전문요양센터","A2112","(노인) 노인요양시설","노인의료복지시설","자치구","곽금봉","1120000000","성동구","서울특별시 성동구 마장로23길 12 (홍익동)"
"도봉동어르신복지관","A2149","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","박미혜","1132000000","도봉구","서울특별시 도봉구 도봉로 169가길 52"
"서울성모원","A2156","(노인) 양로시설","노인주거복지시설","자치구","오양식","1156000000","영등포구","서울특별시 영등포구 대림로12가길 7-1"
"정원치매노인요양센터","A2159","(노인) 노인요양시설","노인의료복지시설","자치구","이호석","1138000000","은평구","경기도 파주시 장지산로200번길 32-83(광탄면)"
"청암노인요양원","A2214","(노인) 노인요양시설","노인의료복지시설","자치구","이성희","1171000000","송파구","서울특별시 송파구 성내천로 193 (마천동)"
"정원노인요양원","A2215","(노인) 노인요양시설","노인의료복지시설","자치구","강혜식","1138000000","은평구","경기도 파주시 장지산로200번길 32-83(광탄면)"
"성우회","A2218","(노인) 양로시설","노인주거복지시설","자치구","남상미","1138000000","은평구","서울특별시 은평구 통일로92길 13 (불광동)"
"구립역촌노인복지관","A2224","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","차화석","1138000000","은평구","서울특별시 은평구 연서로3나길 11-30역촌노인복지관"
"구립갈현노인복지관","A2247","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","손진호","1138000000","은평구","서울특별시 은평구 통일로89길 12-6갈현노인복지관"
"궁동데이케어센터","A2252","(노인) 재가노인복지시설","재가노인복지시설","자치구","심우철","1153000000","구로구","서울특별시 구로구 부일로17길 158-4(수궁동)"
"약수노인복지관","A2255","(노인) 노인복지관","노인여가복지시설","자치구","민진암","1114000000","중구","서울특별시 중구 다산로6길 11신당동"
"서울강남시니어클럽","A2300","(노인) 노인일자리지원기관","노인일자리지원기관","자치구","박주형","1168000000","강남구","서울특별시 강남구 학동로43길 17논현2문화센터 2층4층 (논현동)"
"그린리버노인복지센터","A2310","(노인) 재가노인복지시설","재가노인복지시설","자치구","윤영자","1171000000","송파구","서울특별시 송파구 성내천로 1894층"
"송파노인종합복지관","A2315","(노인) 노인복지관","노인여가복지시설","자치구","이경수","1171000000","송파구","서울특별시 송파구 백제고분로32길 41"
"서초성심노인복지센터(주야간보호)","A2360","(노인) 재가노인복지시설","재가노인복지시설","자치구","오명숙","1165000000","서초구","서울특별시 서초구 반포대로22길 61(서초동 1558-15)"
"서초성심노인복지센터","A2361","(노인) 노인요양시설","노인의료복지시설","자치구","오명숙","1165000000","서초구","서울특별시 서초구 반포대로22길 61 (서초동 1558-15)"
"일광노인요양센터","A2412","(노인) 노인요양시설","노인의료복지시설","자치구","장성란","1129000000","성북구","서울특별시 성북구 보문로31길 70 (삼선동3가)"
"마포노인복지센터부설마포재가노인지원센터","A2419","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은정","1144000000","마포구","서울특별시 마포구 만리재로 9923층 (공덕동 헤이븐 오피스텔)(공덕동 헤이븐 오피스텔)"
"동작노인종합복지관","A2509","(노인) 노인복지관","노인여가복지시설","자치구","김익환","1159000000","동작구","서울특별시 동작구 상도로11길 7(대방동)"
"청남노인요양공동생활가정","A2538","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","강경희","1159000000","동작구","서울특별시 동작구 강남초등8길 20-04층"
"다정노인복지센터","A2610","(노인) 재가노인복지시설","재가노인복지시설","자치구","이수정","1120000000","성동구","서울특별시 성동구 용답중앙11길 3-1 (용답동)"
"정토데이케이센터","A2678","(노인) 재가노인복지시설","재가노인복지시설","자치구","안민숙","1153000000","구로구","서울특별시 구로구 디지털로 31길 93(구로3동)"
"성북구립 장위실버복지센터","A2723","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김나윤","1129000000","성북구","서울특별시 성북구 한천로 655 (장위동)"
"구립중화경로복지관","A2732","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김형기","1126000000","중랑구","서울특별시 중랑구 동일로138길 28 (중화동)"
"시립성북노인종합복지관","A2733","(노인) 노인복지관","노인여가복지시설","자치구","송향숙","1129000000","성북구","서울특별시 성북구 종암로15길 10(종암동)"
"시립노원노인종합복지관","A2739","(노인) 노인복지관","노인여가복지시설","자치구","박지은","1135000000","노원구","서울특별시 노원구 노원로16길 15호(하계동)"
"시립용산노인종합복지관","A2758","(노인) 노인복지관","노인여가복지시설","자치구","이성희","1117000000","용산구","서울특별시 용산구 독서당로11길16 (한남동)"
"서울시립강서노인종합복지관","A2771","(노인) 노인복지관","노인여가복지시설","자치구","임무영","1150000000","강서구","서울특별시 강서구 화곡로61길 85서울특별시 강서구 화곡로61길  85"
"관악노인종합사회복지관병설관악데이케어센터","A2773","(노인) 재가노인복지시설","재가노인복지시설","자치구","이석영","1162000000","관악구","서울특별시 관악구 보라매로 35(봉천동)"
"관악노인종합복지관","A2776","(노인) 노인복지관","노인여가복지시설","자치구","이석영","1162000000","관악구","서울특별시 관악구 보라매로 35(봉천동)"
"광진데이케어센터","A2777","(노인) 재가노인복지시설","재가노인복지시설","자치구","최광식","1121500000","광진구","서울특별시 광진구 군자로 88(군자동)"
"시립서부데이케어센터","A2795","(노인) 재가노인복지시설","재가노인복지시설","자치구","이희근","1144000000","마포구","서울특별시 마포구 월드컵로36길 15-0(성산동)"
"가양5데이케어센터","A2870","(노인) 재가노인복지시설","재가노인복지시설","자치구","조인영","1150000000","강서구","서울특별시 강서구 양천로57길 36"
"마포데이케어센터","A2905","(노인) 재가노인복지시설","재가노인복지시설","자치구","김윤태","1144000000","마포구","서울특별시 마포구 창전동(마포노인종합복지관 2층)"
"사랑이있는집노인요양공동생활가정","A2912","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","정문자","1121500000","광진구","서울특별시 광진구 용마산로8마길 7-10(중곡동)"
"구립용산노인전문요양원","A2944","(노인) 노인요양시설","노인의료복지시설","자치구","김신희","1117000000","용산구","서울특별시 용산구 효창원로93길 51 (효창동)"
"서울노인복지센터","A2947","(노인) 노인복지관","노인여가복지시설","자치구","김경미","1111000000","종로구","서울특별시 종로구 삼일대로 467(경운동)"
"서대문노인종합복지관","A2955","(노인) 노인복지관","노인여가복지시설","자치구","탁우상","1141000000","서대문구","서울특별시 서대문구 독립문로8길 57(천연동)"
"기둥재가노인복지시설","A2958","(노인) 재가노인복지시설","재가노인복지시설","자치구","조성삼","1126000000","중랑구","서울특별시 중랑구 면목로33길 50"
"창동어르신복지관","A2991","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","박미연","1132000000","도봉구","서울특별시 도봉구 덕릉로60차길 6-0"
"구립신내노인종합복지관","A3015","(노인) 노인복지관","노인여가복지시설","자치구","김종범","1126000000","중랑구","서울특별시 중랑구 신내로15길 175(신내동)"
"서울시니어스타워㈜강서본부","A3022","(노인) 노인복지주택","노인주거복지시설","자치구","김영채","1150000000","강서구","서울특별시 강서구 공항대로 315 (등촌동)"
"쌍문동어르신복지관","A3085","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","박미정","1132000000","도봉구","서울특별시 도봉구 우이천로 363"
"구립영등포노인케어센터","A3121","(노인) 노인요양시설","노인의료복지시설","자치구","이지은","1156000000","영등포구","서울특별시 영등포구 도림로 482"
"시립노원노인종합복지관 병설노원데이케어센터","A3130","(노인) 재가노인복지시설","재가노인복지시설","자치구","박지은","1135000000","노원구","서울특별시 노원구 노원로16길 15912동 B1층 (하계동 중계주공9단지아파트)"
"섭리의집","A3167","(노인) 양로시설","노인주거복지시설","자치구","박정희","1154500000","금천구","서울특별시 금천구 시흥대로40길 111-5섭리의집"
"서울시립동대문노인종합복지관","A3206","(노인) 노인복지관","노인여가복지시설","자치구","민경원","1123000000","동대문구","서울특별시 동대문구 제기로33길 25-0(청량리동)"
"시립성북노인종합복지관 주간보호센터","A3223","(노인) 재가노인복지시설","재가노인복지시설","자치구","최유준","1129000000","성북구","서울특별시 성북구 종암로21길 21-4 (종암동)"
"구로노인종합복지관 병설 데이케어센터","A3269","(노인) 재가노인복지시설","재가노인복지시설","자치구","임성희","1153000000","구로구","서울특별시 구로구 새말로16길 7구로노인종합복지관 (구로동)"
"엘림노인복지원","A3318","(노인) 재가노인복지시설","재가노인복지시설","자치구","유광수","1171000000","송파구","서울특별시 송파구 거마로3길 14-32층"
"서울예정재가노인복지센터","A3334","(노인) 재가노인복지시설","재가노인복지시설","자치구","설동욱","1126000000","중랑구","서울특별시 중랑구 용마산로 3485동 1504호"
"남부실버요양센터 다솔관","A3370","(노인) 노인요양시설","노인의료복지시설","자치구","이경옥","1154500000","금천구","서울특별시 금천구 범안로12가길 59"
"시립서대문노인종합복지관주간보호센터","A3382","(노인) 재가노인복지시설","재가노인복지시설","자치구","탁우상","1141000000","서대문구","서울특별시 서대문구 독립문로8길 57(천연동)"
"중랑데이케어센터","A3397","(노인) 재가노인복지시설","재가노인복지시설","자치구","조희정","1126000000","중랑구","서울특별시 중랑구 면목2동(면목동)"
"성가정데이케어센터","A3430","(노인) 재가노인복지시설","재가노인복지시설","자치구","최은영","1174000000","강동구","서울특별시 강동구 양재대로156길 28(고덕동)"
"아름다운실버홈","A3469","(노인) 노인요양시설","노인의료복지시설","자치구","박은영","1111000000","종로구","서울특별시 종로구 평창길 123 (평창동)"
"덕수노인복지센터","A3678","(노인) 재가노인복지시설","재가노인복지시설","자치구","신영삼","1129000000","성북구","서울특별시 성북구 성북로28길 14(성북동)"
"성암장수마을","A3710","(노인) 노인요양시설","노인의료복지시설","자치구","황용규","1174000000","강동구","서울특별시 강동구 구천면로68길 46 (천호동)"
"강남데이케어센터","A3755","(노인) 재가노인복지시설","재가노인복지시설","자치구","이동섭","1168000000","강남구","서울특별시 강남구 삼성로 628삼성로 628"
"방학동어르신복지관","A3812","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","박현우","1132000000","도봉구","서울특별시 도봉구 시루봉로 15라길 59-9 (방학동)"
"동작데이케어센터","A3938","(노인) 재가노인복지시설","재가노인복지시설","자치구","김익환","1159000000","동작구","서울특별시 동작구 대방동대방동"
"종로노인종합복지관","A3971","(노인) 노인복지관","노인여가복지시설","자치구","정영순","1111000000","종로구","서울특별시 종로구 율곡로19길 17-8(이화동)"
"북악실버홈 (휴지중)","A3980","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","손양순","1111000000","종로구","서울특별시 종로구 진흥로 493-6 (신영동)"
"목련데이케어센터","A3989","(노인) 재가노인복지시설","재가노인복지시설","자치구","신민선","1168000000","강남구","서울특별시 강남구 개포로 617-8(일원2동)"
"e-포근한 요양원","A3996","(노인) 노인요양시설","노인의료복지시설","자치구","황광민","1130500000","강북구","서울특별시 강북구 도봉로 266 (미아동)"
"성동노인종합복지관","A4002","(노인) 노인복지관","노인여가복지시설","자치구","김광수","1120000000","성동구","서울특별시 성동구 마조로 77 (마장동)"
"도봉노인종합복지관주간보호센터","A4008","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은주","1132000000","도봉구","서울특별시 도봉구 도당로2길 12-13 "
"용산데이케어센터","A4021","(노인) 재가노인복지시설","재가노인복지시설","자치구","이성희","1117000000","용산구","서울특별시 용산구 독서당로11길 16 (한남동)"
"구립영등포노인종합복지관","A4035","(노인) 노인복지관","노인여가복지시설","자치구","박영숙","1156000000","영등포구","서울특별시 영등포구 도림로 482"
"사)한국한아름복지회재가노인지원센터","A4036","(노인) 재가노인복지시설","재가노인복지시설","자치구","최순임","1168000000","강남구","서울특별시 강남구 개포로24길 29지하1층 (개포동)"
"구립영등포노인종합복지관병설데이케어센터","A4044","(노인) 재가노인복지시설","재가노인복지시설","자치구","박영숙","1156000000","영등포구","서울특별시 영등포구 도림로 482"
"성동노인종합복지관병설성동데이케어센터","A4120","(노인) 재가노인복지시설","재가노인복지시설","자치구","김광수","1120000000","성동구","서울특별시 성동구 마조로 77 (마장동)"
"양천어르신종합복지관병설양천데이케어센터","A4153","(노인) 재가노인복지시설","재가노인복지시설","자치구","한승호","1147000000","양천구","서울특별시 양천구 신정7동(신정7동)"
"시립은평노인종합복지관 은평데이케어센터","A4163","(노인) 재가노인복지시설","재가노인복지시설","자치구","김승자","1138000000","은평구","서울특별시 은평구 연서로 415(진관동)"
"노인통합지원센터","A4189","(노인) 재가노인복지시설","재가노인복지시설","자치구","양재석","1168000000","강남구","서울특별시 강남구 봉은사로24길 70"
"청파노인복지센터","A4195","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","임은정","1117000000","용산구","서울특별시 용산구 청파로83길 26서계동 (서계동)"
"시립강동노인복지관데이케어센터","A4272","(노인) 재가노인복지시설","재가노인복지시설","자치구","성미선","1174000000","강동구","서울특별시 강동구 명일2동 48-1032-5"
"동대문노인종합복지관병설주간보호센터","A4284","(노인) 재가노인복지시설","재가노인복지시설","자치구","민경원","1123000000","동대문구","서울특별시 동대문구 제기로33길25"
"구립여의도원광데이케어센터","A4344","(노인) 재가노인복지시설","재가노인복지시설","자치구","양귀자","1156000000","영등포구","서울특별시 영등포구 여의대방로68길 15영창빌딩 3층"
"강서노인복지관데이케어센터","A4373","(노인) 재가노인복지시설","재가노인복지시설","자치구","임무영","1150000000","강서구","서울특별시 강서구 화곡로61길 85"
"양천사랑마루","A4519","(노인) 노인요양시설","노인의료복지시설","자치구","이경복","1147000000","양천구","서울특별시 양천구 곰달래로6길 17-1 (신월동)"
"서울성모원 노인요양공동생활가정","A4555","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이희주","1156000000","영등포구","서울특별시 영등포구 대림로12가길 7-1"
"성모노인복지센터","A4583","(노인) 재가노인복지시설","재가노인복지시설","자치구","최옥란","1165000000","서초구","서울특별시 서초구 도구로 58-1(방배동 969-5)"
"효노인복지센터","A4584","(노인) 재가노인복지시설","재가노인복지시설","자치구","곽현숙","1130500000","강북구","서울특별시 강북구 오현로 194덕수빌딩 2층 (번동)"
"효노인복지센터","A4585","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","곽현숙","1130500000","강북구","서울특별시 강북구 오현로 194덕수빌딩 2층 (번동)"
"봄날실버센터","A4600","(노인) 노인요양시설","노인의료복지시설","자치구","김미숙","1150000000","강서구","서울특별시 강서구 금낭화로 39봄날실버센터"
"시니어스너싱홈","A4602","(노인) 노인요양시설","노인의료복지시설","자치구","김동숙","1150000000","강서구","서울특별시 강서구 화곡로68길 102"
"서울시니어스타워(주)가양본부","A4603","(노인) 노인복지주택","노인주거복지시설","자치구","박경숙","1150000000","강서구","서울특별시 강서구 화곡로68길 102 (등촌동 서울특별시니어스가양타워)"
